title,description,genres,emotions,emojis
Anon,"Set in a near-future world where there is no privacy, ignorance or anonymity, our private memories are recorded and crime almost ceases to exist. In trying to solve a series of unsolved murders, Sal Frieland stumbles onto a young woman who appears to have subverted the system and disappeared. She has no identity, no history and no record. Sal realizes it may not be the end of crime but the beginning. Known only as 'The Girl', Sal must find her before he becomes the next victim.","['scifi', 'thriller', 'action', 'drama', 'crime', 'european']","[suspense, intrigue, curiosity, fear, mystery, tension, surprise, anticipation]",🕵️‍♀️🔍🔒🚶‍♀️🔎💥🔪🔦
Chilling Adventures of Sabrina,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.","['thriller', 'scifi', 'drama', 'fantasy', 'horror']","[suspense, anticipation, conflict, curiosity, fear, empowerment, friendship, loyalty]",🧙‍♀️🔮🌑🔥🌿⚡🕯👭
Eternal Summer,Three high school students experience the perks and pitfalls of love in director Leste Chen’s sensitive tale of friendship and yearning.,"['romance', 'drama']","[romance, nostalgia, longing, friendship, joy, heartbreak, hope, vulnerability]",❤️🎵📚💔🌸🌈🌟✨
Making Malinche: A Documentary by Nacho Cano,Join the creative process behind Nacho Cano’s new musical based on the love story of Malinche and Hernán Cortés and the merging of their two worlds.,"['documentation', 'music']","[curiosity, fascination, inspiration, empathy, appreciation, creativity, reflection, anticipation]",🎵🎭🌍💔🎶✨🎬🔥
Princess 'Daya'Reese,"Reese is a con artist from Manila who dreams of living like royalty. An opportunity arrives in the form of Princess Ulap, a runaway princess from the mysterious kingdom of Oro, who looks exactly like her. Switching places in exchange for gold, Reese flies to Ulap's kingdom where she meets Caleb, a young and determined reporter who is doing a documentary on the island of Oro. The road to happily ever after becomes bumpy when the man in search for truth begins to fall in love with the fake princess.","['comedy', 'romance']","[laughter, anticipation, romance, curiosity, amusement, charm, surprise, happiness]",👸🏻💰💼🎥📺💔💕💕
Sintonia,"Told through three different characters' perspectives, the story of Sintonia explores the interconnection of the music, drug traffic, and religion in São Paulo. In the quest to be somebody, many paths will converge.","['drama', 'crime', 'music']","[intrigue, suspense, curiosity, empathy, excitement, tension, reflection, anticipation]",🎵🚬🙏🌆🚧🎭🔥💰
The Wasteland,"Lucía and her son live isolated from society in a flat place where there’s practically no life. The small family unit formed by mother and son hardly ever receives visitors, and their goal is to lead a quiet existence. At first they succeed, but the appearance of a mysterious, violent creature that starts stalking their small house will put the relationship that unites them to the test.","['thriller', 'horror', 'drama']","fear, suspense, tension, curiosity, unease, isolation, protectiveness, dread",🕷️🏠👩‍👦👀🔪👣😱😨
The Match,"One football match on a dirt pitch near Rome becomes a day of reckoning as a young player, his coach and their team's owner wrestle internal demons.","['drama', 'european']","[tension, determination, redemption, conflict, hope, resilience, passion, introspection]",⚽️🌟🧠🌪🙏😢🔥🤔
Fuller House,"D.J. Tanner-Fuller is a widow and mother of three. Things become too much to handle, so she asks for help from her sister Stephanie and her best-friend Kimmy.","['comedy', 'family']","[nostalgia, laughter, warmth, joy, love, happiness, comfort, amusement]",🏠👩‍👧‍👧😂🥰🤗😄❤️😆
Chhota Bheem Ka Roosi Romanch,"Prof Dhoomketu’s crude transportation machine transports the kids to Ivano village in Russia, where they come across an evil magician Kazimir. They fight him to rescue Sofia and her father Czar Fedor.",['animation'],"[adventure, excitement, heroism, wonder, suspense, laughter, teamwork, triumph]",🌍🔮🧙‍♂️👧👦🇷🇺🔥💪
Saladin the Victorious,"Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.","['action', 'drama', 'war', 'history', 'romance']","[pride, determination, empathy, suspense, admiration, awe, sorrow, hope]",🏰🛡️⚔️🕌🌍🗡️🌹🕊️
B: The Beginning,"In a world powered by advanced technology, crime and action unfold in the archipelagic nation of Cremona. Genius investigator Keith Flick rejoins the royal police force just as serial killer “B” emerges. Mysterious youth Koku may be an ally, or a target.","['scifi', 'horror', 'crime', 'thriller', 'action', 'fantasy', 'animation', 'drama']","[suspense, intrigue, mystery, excitement, fear, anticipation, curiosity, satisfaction]",👁️🔍🕵️🔪🌆🌟🧠👥
Dragonheart: Vengeance,"Lukas, a young farmer whose family is killed by savage raiders in the countryside, sets out on an epic quest for revenge, forming an unlikely trio with a majestic dragon and a swashbuckling, sword-fighting mercenary, Darius.","['action', 'european']","[revenge, determination, camaraderie, thrill, sorrow, triumph, awe, suspense]",🐉🏹🗡️🌾🔥👨‍🌾💔💪
Dead Kids,A socially awkward teen bonds with a group of misfits who plot to abduct the school's arrogant rich kid -- until their kidnapping scheme turns deadly.,"['crime', 'drama', 'thriller']","[suspense, fear, curiosity, shock, empathy, tension, uncertainty, satisfaction]",😱🤔😨😮😢😬❓😌
Country Ever After,"Country artist Coffey Anderson and his wife, hip-hop dancer Criscilla, juggle family life, career goals and tests of faith in this reality series.","['reality', 'music']","[inspiration, love, determination, joy, faith, laughter, curiosity, empowerment]",🎵🤠🎶✨🎉💪🙏😂🔍
Bill Nye: Science Guy,"Bill Nye is retiring his kid show act in a bid to become more like his late professor, astronomer Carl Sagan. Sagan dreamed of launching a spacecraft that could revolutionize interplanetary exploration. Bill sets out to accomplish Sagan's mission, but he is pulled away when he is challenged by evolution and climate change contrarians to defend the scientific consensus. Can Bill show the world why science matters in a culture increasingly indifferent to evidence?",['documentation'],"[curiosity, inspiration, determination, frustration, hope, concern, satisfaction, empowerment]",🧪🔭🌍🔬🌱🌡️📚💪
Disappearance at Clifton Hill,"Following the death of her mother, a young woman returns home to Niagara Falls and becomes entangled in the memory of a kidnapping she claims to have witnessed as a child.","['thriller', 'drama']","[mystery, suspense, nostalgia, curiosity, unease, intrigue, confusion, fear]",🕵️‍♀️🔍🌫️🔦🎢🔐🔎👀
Cities of Last Things,"This is a story about a common man who has extraordinary events in his mundane life. The film depicts the protagonist's turns of events in three eras, three seasons, three nights, in the same city, as told with reverse chronology.","['drama', 'scifi', 'crime']","[intrigue, confusion, suspense, nostalgia, empathy, curiosity, melancholy, awe]",🌃🔄🔮💔🎭🎥🔍🤔
High Risk,"High Risk is a program aired by the CBS television network as part of its 1988 fall lineup.

The genesis of High Risk was a 1988 strike by members of both the Writers Guild of America, East and Writers Guild of America, west against the Alliance of Motion Picture and Television Producers. Unable to produce regular, scripted series, programs such as High Risk were put together to serve as replacements under fear of a two-year lockout.

The CBS 100% in-house production featured ""high-risk"" stunts and jobs such as Border Patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

Intended as a two-year commitment, strike or no strike, High Risk received unanimous condemnations and was cancelled after being presented for one night. The show was hosted by Wayne Rogers.",['comedy'],"[confusion, disappointment, frustration, boredom]",😕👎
Making Unorthodox,"Documentary about the making of the Netflix FIlm ""Unorthodox""",['documentation'],"[curiosity, inspiration, fascination, appreciation, reflection, empathy, enlightenment, admiration]",🎥🎬🎧🏢🕍📚💔💪
Home Game,"This docuseries profiles unique and dangerous traditional sports from around the world, as well as the communities and cultures where they thrive.","['documentation', 'sport']","[curiosity, amazement, fascination, appreciation, astonishment, respect, pride, joy]",🌍🏆🤔💫🙌👏🥰😄
Chronicle of a Disappearance,"Chronicle of a Disappearance unfolds in a series of seemingly unconnected cinematic tableaux, each of them focused on incidents or characters which seldom reappear later in the film. Among the many unrelated scenes, there is a Palestinian actress struggling to find an apartment in West Jerusalem, the owner of the Holy Land souvenir shop preparing merchandise for incoming Japanese tourists, a group of old women gossiping about their relatives, and an Israeli police van which screeches to a halt so several heavily armed soldiers can get off the car and urinate.",['drama'],"[confusion, curiosity, contemplation, empathy, frustration, reflection, intrigue, irony]",🤔😮😕😢😠🤔😯😂
The Heartbreak Club,"Coping with heartbreak, the shy owner of floundering cafe find solace in the Javanese love songs of Didi Kempot.","['comedy', 'drama', 'romance']","['heartbreak', 'hope', 'laughter', 'nostalgia', 'comfort', 'inspiration', 'romance', 'healing']",😢😌😂🎵🏖️❤️🎬💔
He Never Died,Jack is a solitary man with a mysterious past. His strange habits will soon become stranger when his past catches up with him.,"['fantasy', 'horror', 'comedy', 'drama', 'thriller']","[mystery, suspense, curiosity, amusement, intrigue, unease, anticipation, satisfaction]",🧛‍♂️🤔🔍🤷‍♂️😄🤨🔮😌
Age of Rebellion,"Campus bullying is a serious issue that every school try to root out. When the bullying manifests to outside of the school, who is responsible to stop it?","['crime', 'drama', 'romance']","[anger, empathy, empowerment, hope, resilience, confusion, determination, satisfaction]",🎭🔥👥🎓📚👊💔🚫
The Two Popes,"Frustrated with the direction of the church, Cardinal Bergoglio requests permission to retire in 2012 from Pope Benedict. Instead, facing scandal and self-doubt, the introspective Pope Benedict summons his harshest critic and future successor to Rome to reveal a secret that would shake the foundations of the Catholic Church.","['drama', 'comedy', 'history']","[intrigue, curiosity, contemplation, reflection, empathy, surprise, satisfaction, inspiration]",🤔🔎🧐🤯😌🙏😲🌟
Inside the World's Toughest Prisons,"Crime journalist Paul Connolly goes behind the bars of some of the world’s most notorious and toughest prisons. Immersing himself in maximum security facilities around the world to live as a prisoner, he encounters the inmates locked up for their crimes and meets the men and women on the right side of law tasked with keeping the criminals behind bars.","['crime', 'documentation']","['fear', 'curiosity', 'shock', 'compassion', 'apprehension', 'tension', 'relief', 'gratitude']",🚔🔒🌍🔍💀👮‍♂️👩‍⚖️✨
Michelle Wolf: Joke Show,"Comedian Michelle Wolf takes on outrage culture, massages, childbirth, feminism and much more (like otters) in a stand-up special from New York City.",['comedy'],"[laughter, amusement, surprise, provocation, joy, relatability, empowerment, entertainment]",😂🤣😮🤔😄🙌👩‍👧‍👦🎭
Wheelman,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,"['action', 'crime', 'thriller']","[suspense, adrenaline, betrayal, urgency, determination, fear, tension, uncertainty]",🚗💨🔫🔎🤔💣😨🤷‍♂️
Fireworks,"Moshimo, Japan. The annual fireworks festival is about to take place and a group of schoolboys, arguing over whether they are round or flat when viewed from different angles, set out to find it out.","['drama', 'fantasy', 'documentation', 'animation', 'romance', 'scifi', 'family']","[curiosity, nostalgia, wonder, joy, friendship, imagination, awe, anticipation]",🎆🎇🤔😊👦👦👦🎌
Jeffrey Epstein: Filthy Rich,Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.,"['documentation', 'crime']","[shock, anger, disbelief, empathy, sadness, horror, frustration, determination]",😱😡🤯😢😨😠😤💪
Turkish Dance School,"Selim a young doctor in search of the 100th patient to finish his thesis comes across a beautiful young girl, Aysel who has tried to commit a suicide. As a possible cure, dance become their main focus and by coincidence they find themselves attending competitions under the guidance of Sengül Dance School.","['comedy', 'drama']","['hope', 'humor', 'inspiration', 'romance', 'perseverance', 'curiosity', 'joy', 'sympathy']",🤞😄💪💑🏋️‍♀️🔍😊😢
The Degenerates,Six stand-ups explore the coarse and salacious side of comedy in this series of half-hour specials. For mature audiences.,['comedy'],"[laughter, shock, amusement, discomfort, surprise, amusement, entertainment, curiosity]",😂🤯😏😬😮😂🎭
Let's Eat,A food-blogging insurance agent encounters a friend from elementary school with a vendetta against him -- but soon becomes her sidekick.,"['drama', 'comedy']","['laughter', 'nostalgia', 'friendship', 'intrigue', 'amusement', 'curiosity', 'satisfaction', 'surprise']",🍔📸🕵️‍♀️🤔🤣🔍👫😲
Requiem,"In 1994, a toddler disappeared from a small Welsh village, never to be seen again. 23 years later, in London, the mother of rising cello star Matilda Gray commits suicide, without apparent reason. Among her possessions, Matilda discovers tantalising evidence, linking her mother to the Welsh girl's disappearance all those years ago.","['drama', 'animation', 'fantasy', 'thriller']","[mystery, suspense, curiosity, sadness, intrigue, confusion, fear, empathy]",🕵️‍♀️🔍😢🔮🤔😨💔🤝
Out of Thin Air,"Set within the stark Icelandic landscape, OUT OF THIN AIR examines the 1976 police investigation into the disappearance of two men in the early 1970s.","['crime', 'documentation']","[suspense, curiosity, intrigue, confusion, shock, frustration, relief, satisfaction]",🕵️‍♀️🔎🌪️🔦🤔🤯😤😌
Talaash,"A cop, investigating the mysterious death of a filmstar, meets a sex-worker, while he faces some personal problems psychologically. The mystery connects these people in a way, that ultimately changes their lives.","['crime', 'thriller', 'drama', 'fantasy']","[suspense, curiosity, intrigue, empathy, tension, confusion, redemption, satisfaction]",🕵️‍♀️🧩🌟🌆🔍🤔😇👌
Bulbbul,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.","['fantasy', 'horror', 'drama']","[mystery, intrigue, fear, empathy, suspense, curiosity, empowerment, awe]",👻🌑🕵️‍♀️🔮
Ad Vitam,"In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.","['scifi', 'crime', 'drama']","[intrigue, suspense, curiosity, melancholy, contemplation, unease, empathy, fascination]",🌌🔍🌱🤔😔🤐🤝🤯
Mujrim,"The film follows the story of Shankar, who is regarded as a criminal by the society after being in jail for ten years since childhood.","['drama', 'action', 'crime']","['suspense', 'anxiety', 'sympathy', 'redemption', 'regret', 'hope', 'revenge', 'empathy']",🔪🔓🤔🔁🙏🔪🔥🤝
Fantastica,"Belat, her mother Fec and adopted siblings Daks, Pepe and Junjun face the possibility of being evicted from their land as they struggle to save their carnival. Hoping to prevent the carnival from closing, they turn to Prince, a man from Belat`s past, for help. He promises to give them a hand if they first help him look for the lost princesses Rapunselya, Maulan and Ariella so they can save the magical land, Fantastica.","['comedy', 'fantasy']","[laughter, hope, nostalgia, determination, curiosity, joy, surprise, satisfaction]",🎪🌈🎠👑🧚‍♀️🔍💫🎉
Patria,"Paco Ignacio Taibo II brings his book trilogy to life, highlighting Mexico's history in 1854-1867, a period he considers foundational to the country.","['documentation', 'history', 'war']","[insight, nostalgia, patriotism, reflection, empathy, curiosity, anticipation, pride]",📚🇲🇽🎥🌟🤔🕰️🔥👏
I Am the Pretty Thing That Lives in the House,A young nurse takes care of elderly author who lives in a haunted house.,"['horror', 'thriller', 'drama']","[fear, suspense, unease, curiosity, tension, mystery, isolation, dread]",👻🏚️
Fred Armisen: Standup for Drummers,"For an audience of drummers, comedian Fred Armisen shares and demonstrates his thoughts on musical genres, drummer quirks, regional accents and more.","['music', 'comedy']","[laughter, appreciation, nostalgia, amusement, fascination, connection, joy, inspiration]",🥁🤣🎵🤔🌍🎶🤩😂
In Family I Trust,"Bea is a successful architect who lives in Barcelona (Catalonia, northeast to Spain) with her boyfriend and boss, Víctor, a CEO of an important company. During a night celebration of an important contract signed to make a skyscraper designed by Bea, in the bar appears the famous TV reporter and anchorwoman Rebecca Ramos, Victor's personal erotic fantasy. Not measuring the consequences of her actions due to the alcohol she drank, Bea makes a meeting between Víctor and Rebecca. When to the next day she wakes up, Víctor proposes to wed Bea and she accepts, but after she arrives to the job, Bea learns about a videotape where Víctor and Rebecca make the love in a car that it's in all TV channels. In front of all CEOs during a full meeting, Bea slaps Víctor and destroys her design, being fired from the job. Looking for a break, she travels her natal coastal town, Santa Clara, just to discover that her rest isn't so easy as it seems: her eccentric, free-spirited and eternal smiling mother ...","['romance', 'comedy', 'european']","[surprise, betrayal, humor, resilience, forgiveness, love, redemption, nostalgia]",🍸💔🤣💪🏼💖🔁🏞️😌
Devilman Crybaby,"Akira Fudo learns from his best friend Ryo Asuka that demons will revive and reclaim the world from humans. With humans hopeless against this threat, Ryo suggests combining with a demon. With this, Akira becomes Devilman, a being with the power of demon but with a human heart.","['animation', 'action', 'scifi', 'drama', 'fantasy', 'horror']","[fear, suspense, curiosity, empathy, shock, sadness, excitement, awe]",😱😨🤔😢😳😲😃🤩
The Unlikely Murderer,"After the assassination of prime minister Olof Palme in 1986, Stig Engström managed to elude justice right up to his death through a combination of audacity, luck, and a perplexed police force.","['drama', 'crime']","[suspense, intrigue, curiosity, frustration, shock, disbelief, satisfaction, reflection]",🕵️‍♂️🔎🤔😱😳😮😌🤨
"Fresh, Fried & Crispy","Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food.","['documentation', 'reality']","[hunger, anticipation, satisfaction, amusement, curiosity, inspiration, nostalgia, appreciation]",🍔🍟🍗🍤🌭🧀🥓🍕
Daughters of Destiny,Five girls from India's most impoverished families attend a boarding school designed to create opportunities as they strive for a brighter future.,['documentation'],"[inspiration, hope, empathy, determination, gratitude, resilience, empowerment, pride]",🌟📚👩‍🎓🌍💪✨🌺🎉
Russell Peters: Almost Famous,"The comic comes home to Toronto to sound off on cultural quirks, furniture building and bathroom visits, revelling in all things ridiculously human.",['comedy'],"[laughter, amusement, nostalgia, relatability, joy, surprise, appreciation, connection]",😂🤣😄🙌🤔😁😮👏
Twelve Forever,Reggie's dream is to be a kid forever. Her dream is so powerful that it creates its own fantasy world of perpetual youth.,"['family', 'fantasy', 'animation', 'action', 'comedy']","[nostalgia, imagination, joy, curiosity, empowerment, laughter, escapism, enchantment]",🌈🌟🌼🔮🎠🦄🎈🎉
Restless,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.","['thriller', 'action', 'crime']","[suspense, fear, tension, uncertainty, guilt, paranoia, revenge, redemption]",🕵️‍♂️🔍🔒🔫📝🔪🔁💔
"Sister, Sister","Twins Tia Landry and Tamera Campbell were separated and adopted at birth. Fourteen years later, they encounter each other by chance at the mall. After the families meet, Tia's widowed father agrees to let Tamera and her single mother move in with them.","['comedy', 'drama', 'family']","[joy, nostalgia, laughter, empathy, warmth, curiosity, anticipation, connection]",👭🏽🏡🤣❤️🔍🤔⏳🤝
Merry Happy Whatever,A strong-willed patriarch must balance the demands of his complicated family with the stress of the Christmas season when his youngest daughter comes home for the holidays with a new boyfriend.,['comedy'],"[laughter, empathy, frustration, joy, love, nostalgia, anticipation, forgiveness]",🎅🎄👨‍👩‍👧‍👦💑🎁❄️🤣🙃
Spectros,A group of teenagers gets unintentionally involved in a conflict between Japanese Shinto ghosts and Brazilian witchcraft.,['scifi'],"[mystery, suspense, curiosity, fear, intrigue, fascination, excitement, surprise]",👻🧙‍♀️🇯🇵🇧🇷👫🔮🔍🎢⚡️
Duck Duck Goose,"After he’s grounded by an injury, a high-flying bachelor is saddled with two wide-eyed orphans as they come face-to-face with the dangers and beauty of the outside world.","['comedy', 'animation', 'family', 'action']","[joy, empathy, laughter, curiosity, warmth, compassion, happiness, amusement]",🦆👨‍👧‍👦🌍🌈🏃‍♂️🤣❤️🎉🍿
Chhota Bheem the Crown of Valhalla,"Bheem and his friends are returning from the kingdom of Raunakpur when lightning strikes and they are caught in a sea-storm. Their ship 'Dholakpur Queen' is tossed and turned on the waves and captain Samudra Sen tries his best to keep it afloat. When the storm abates, Samudra Sen is stunned and says 'Valhalla'.",['animation'],"[adventure, excitement, curiosity, anticipation, friendship, bravery, awe, joy]",⚡🌊🚢🌟👬💪🌈🎉
The Magic School Bus Rides Again: The Frizz Connection,"Lightning splits the Magic School Bus into three pieces, scattering the class across the globe with different versions of Ms. Frizzle aboard each bus!","['animation', 'family']","[excitement, curiosity, nostalgia, amazement, joy, amusement, anticipation, satisfaction]",🚌🌍🌩️🧙‍♀️
9to5: The Story of A Movement,"A campaign against the abuse of female workers by their male bosses, which starts in early 1970s Cleveland, leads to a popular fiction film with Fonda, Parton and Tomlin.","['documentation', 'history']","empowerment, anger, inspiration, determination, solidarity, hope, justice, nostalgia",💪🔥🌟👩‍🔧👊🌹🎥🌈
Mandela: Long Walk to Freedom,A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,"['drama', 'history']","[inspiration, empathy, hope, admiration, perseverance, determination, triumph, reflection]",🌍👨‍⚖️📚🔗🇿🇦👏🕊️💭
I Am Not Okay with This,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.","['drama', 'fantasy', 'scifi', 'comedy']","[confusion, curiosity, empathy, excitement, humor, tension, self-discovery, anticipation]",🧠🔍🧡🔥😂🔮🤔💭
Larva Island,"Stranded on a tropical island, two silly larva buddies find slapstick fun in everything from discovering food to meeting new animal friends.","['animation', 'comedy']","[laughter, amusement, joy, curiosity, silliness, relaxation, happiness, friendship]",🐛🏝️🤣
The Next Skin,"A teenager who went missing and was presumed dead returns home after eight years to find a family deeply affected by his disappearance. Gradually, doubts arise about whether he really is the missing boy or an impostor.","['drama', 'thriller', 'european']","[suspense, mystery, confusion, curiosity, tension, disbelief, unease, betrayal]",🕵️‍♂️🔍🤔😱🤯😬😨🔀
Kapil Sharma: I'm Not Done Yet,"From the liquid courage behind his tweets to the sobering realities of making it in Mumbai, Kapil's pouring his heart out — with a heavy glug of humor.",['comedy'],"[laughter, amusement, inspiration, nostalgia, empathy, happiness, surprise, admiration]",😂🤣😊🎉🙌😮👏❤️
The Innocents,"When a teenage couple runs away to be together, the extraordinary gift they possess unleashes powerful forces intent on dividing them forever.","['scifi', 'drama', 'horror', 'romance', 'thriller']","['romance', 'mystery', 'fear', 'intrigue', 'tension', 'drama', 'curiosity', 'suspense']",💑🔍😨🕵️‍♀️🔥🎭🔎🔪
Too Old for Fairy Tales,"In Waldek's life, filled mainly with computer games, there is a real earthquake. During her absence, mum stays under the care of a crazy and unpredictable aunt, who introduces discipline that has been alien to him so far and imposes new duties. But although an extraordinary relative gives Waldek a real survival camp, the boy also receives the most valuable life lesson from her.","['comedy', 'family']","[laughter, nostalgia, growth, surprise, empathy, joy, resilience, warmth]",🤣🌈👵🏻🎮🏕️👦🏻🎓💡
Husband Factor,A traditional Turkish woman tries to find love and is forced by her family members to get married.,"['comedy', 'romance', 'drama', 'fantasy']","[humor, romance, frustration, determination, empathy, joy, surprise, satisfaction]",🤣❤️😡💪🤝😄😮👍
Monkey Twins,"Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.","['action', 'crime']","[action, suspense, determination, camaraderie, justice, intensity, thrill, loyalty]",🐒👊👮‍♂️🔥🔫🌪️💥👥👊
Surviving Escobar - Alias JJ,"As the Medellín Cartel crumbles, Pablo Escobar's No. 1 hit man struggles to stay alive and gain respect in the prison hierarchy.","['crime', 'drama']","suspense, fear, tension, empathy, anticipation, intrigue, survival, redemption",🕵️‍♂️🔪🔥🔫🔓👊🤔🔁
Animal,"This immersive series follows the world's most magnificent creatures, capturing never-before-seen moments from the heartwarming to the outrageous.",['documentation'],"[awe, curiosity, joy, amazement, surprise, laughter, fascination, appreciation]",🐯🦅🦈🦁🐼🐢🐺🐒
Fast & Furious Spy Racers,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,"['family', 'animation', 'action', 'drama', 'comedy', 'crime']","[thrill, suspense, camaraderie, adrenaline, fun, intrigue, loyalty, determination]",🚗💥🕵️‍♂️🔥🌟🔎👥🏁
Rescued by Ruby,"Chasing his dream to join an elite K-9 unit, a state trooper partners with a fellow underdog: clever but naughty shelter pup Ruby. Based on a true story.","['family', 'drama']","[hope, determination, joy, compassion, inspiration, suspense, triumph, love]",🐶🚔🐾🌟🏅🎉🥰💖
Satria Heroes: Revenge of the Darkness,"One year has passed since Satria Garuda Bima-X defeated VUDO and the earth is in peace again. Ray and Rena are rebuilding the Parallel World again. However, new evil forces attack and old enemies rise again to devastate the earth.","['scifi', 'action', 'drama', 'fantasy']","[anticipation, suspense, determination, nostalgia, fear, hope, empowerment, satisfaction]",🌍🦸‍♂️🔥👊🌑🌟💥🎉
Out of the Clear Blue Sky,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.","['drama', 'music', 'comedy', 'romance']","['nostalgia', 'hope', 'humor', 'romance', 'determination', 'surprise', 'redemption', 'joy']",🎶🌟🤣💕✨🎉🔥🥰
FRED 3: Camp Fred,"Schools out, and Fred Figglehorn's dream of water slides, horseback riding and monkey butlers during the summer turns into a nightmare of gruel and poisonous berries when his mom signs him up to an unsanitary camp.","['comedy', 'family']","[humor, frustration, anticipation, empathy, amusement, disappointment, resilience, satisfaction]",😂😫🤔😮🤣😞💪😌
Chelsea,"It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style.",['comedy'],"[humor, curiosity, amusement, inspiration, surprise, nostalgia, empowerment, connection]",🤣🤔😄🌟😲😊👑🤝
